A,B,id,MSE
2100000.0,1000.0,798,0.38426145113342974
3400000.0,1000.0,1518,0.3857519659166698
4700000.0,1000.0,2238,0.4434623571676889
6000000.0,1000.0,2958,0.5180362775222086
800000.0,1000.0,78,0.5812906316022414
2100000.0,1750.0,942,0.7008753130721417
3400000.0,1750.0,1662,0.7177982715440508
4700000.0,1750.0,2382,0.7820931751580965
6000000.0,1750.0,3102,0.8588916721081727
800000.0,1750.0,222,0.8632033334155205
2100000.0,2500.0,1086,0.9573137457518535
3400000.0,2500.0,1806,0.9776780210190918
4700000.0,2500.0,2526,1.042623031836147
800000.0,2500.0,366,1.110624093601015
6000000.0,2500.0,3246,1.1186626738685155
2100000.0,3250.0,1230,1.1618939996663813
3400000.0,3250.0,1950,1.1818961439638807
4700000.0,3250.0,2670,1.2455511365139915
800000.0,3250.0,510,1.3137758172762393
6000000.0,3250.0,3390,1.3198302884470632
2100000.0,4000.0,1374,1.3272979355800816
3400000.0,4000.0,2094,1.3456668825007227
4700000.0,4000.0,2814,1.4074175465223386
6000000.0,4000.0,3534,1.4797323881942712
800000.0,4000.0,654,1.4802046456801896
