,A,B,id,MSE
0,3157931.578947368,421.05263157894734,34782,0.10572788736714292
1,3684236.842105263,0.0,40398,0.10599675257597259
2,3947389.4736842103,0.0,43278,0.10631575277595551
3,2894778.947368421,421.05263157894734,31902,0.10734843230852775
4,3421084.2105263155,421.05263157894734,37662,0.10762005278215725
5,3421084.2105263155,0.0,37518,0.10922911490309155
6,4210542.105263158,0.0,46158,0.1095215059169532
7,3684236.842105263,421.05263157894734,40542,0.11233779915578493
8,2631626.3157894737,421.05263157894734,29022,0.11335327544213505
9,4473694.736842105,0.0,49038,0.11507765513212781
10,3157931.578947368,0.0,34638,0.11684564857438147
11,3947389.4736842103,421.05263157894734,43422,0.11933280598172852
12,4736847.368421053,0.0,51918,0.12255149178275504
13,2368473.6842105263,421.05263157894734,26142,0.1248645024234736
14,4210542.105263158,421.05263157894734,46302,0.12816495730857078
15,2894778.947368421,0.0,31758,0.12989862574462424
16,5000000.0,0.0,54798,0.1315886867751784
17,4473694.736842105,421.05263157894734,49182,0.13847893961485924
18,2105321.052631579,421.05263157894734,23262,0.14334273045409723
19,2631626.3157894737,0.0,28878,0.14973588342774663
20,4736847.368421053,421.05263157894734,52062,0.14998602254694599
21,5000000.0,421.05263157894734,54942,0.16244851063776114
22,1842168.4210526315,421.05263157894734,20382,0.17071513045597714
23,2368473.6842105263,0.0,25998,0.1781058071931506
24,1579015.789473684,421.05263157894734,17502,0.20957363335322426
25,2105321.052631579,0.0,23118,0.21730864301498581
26,1315863.1578947369,421.05263157894734,14622,0.2634863141957453
27,1842168.4210526315,0.0,20238,0.2704066918179475
28,2631626.3157894737,842.1052631578947,29166,0.29829446002539156
29,2894778.947368421,842.1052631578947,32046,0.29834982572122004
30,3157931.578947368,842.1052631578947,34926,0.30184711477789655
31,2368473.6842105263,842.1052631578947,26286,0.30260368224016604
32,3421084.2105263155,842.1052631578947,37806,0.30807313566906613
33,2105321.052631579,842.1052631578947,23406,0.31249014937098557
34,3684236.842105263,842.1052631578947,40686,0.31646903499977863
35,3947389.4736842103,842.1052631578947,43566,0.3265898589004222
36,1842168.4210526315,842.1052631578947,20526,0.3295640075941887
37,1052710.5263157894,421.05263157894734,11742,0.33748924668655633
38,4210542.105263158,842.1052631578947,46446,0.3380810046874587
39,1579015.789473684,0.0,17358,0.3415719620083606
40,4473694.736842105,842.1052631578947,49326,0.35065776906846713
41,1579015.789473684,842.1052631578947,17646,0.3560076102608483
42,4736847.368421053,842.1052631578947,52206,0.36408929468271833
43,5000000.0,842.1052631578947,55086,0.3781872185806828
44,1315863.1578947369,842.1052631578947,14766,0.3948542128996367
45,1315863.1578947369,0.0,14478,0.43662201460463573
46,789557.894736842,421.05263157894734,8862,0.43889752247385805
47,1052710.5263157894,842.1052631578947,11886,0.45042713986153254
48,2631626.3157894737,1263.157894736842,29310,0.4943864855419374
49,2368473.6842105263,1263.157894736842,26430,0.49534003885192196
50,2894778.947368421,1263.157894736842,32190,0.497295286133809
51,2105321.052631579,1263.157894736842,23550,0.5012758752297365
52,3157931.578947368,1263.157894736842,35070,0.5032206297307172
53,3421084.2105263155,1263.157894736842,37950,0.5115124196174919
54,1842168.4210526315,1263.157894736842,20670,0.5136907591456927
55,3684236.842105263,1263.157894736842,40830,0.5216644671362604
56,789557.894736842,842.1052631578947,9006,0.5290882185227834
57,3947389.4736842103,1263.157894736842,43710,0.5332766596658001
58,1579015.789473684,1263.157894736842,17790,0.5346266559341579
59,4210542.105263158,1263.157894736842,46590,0.5460313416535616
60,4473694.736842105,1263.157894736842,49470,0.5596740818895987
61,1052710.5263157894,0.0,11598,0.5638803328060937
62,1315863.1578947369,1263.157894736842,14910,0.566941115447299
63,4736847.368421053,1263.157894736842,52350,0.5740003207632501
64,526405.2631578947,421.05263157894734,5982,0.5788048109833159
65,5000000.0,1263.157894736842,55230,0.5888440657862498
66,1052710.5263157894,1263.157894736842,12030,0.6147389924937994
67,526405.2631578947,842.1052631578947,6126,0.6406218111590938
68,2368473.6842105263,1684.2105263157894,26574,0.6712835989578693
69,2631626.3157894737,1684.2105263157894,29454,0.6719321032260321
70,2105321.052631579,1684.2105263157894,23694,0.6753340209096294
71,2894778.947368421,1684.2105263157894,32334,0.6761998949684904
72,3157931.578947368,1684.2105263157894,35214,0.6832741337501542
73,789557.894736842,1263.157894736842,9150,0.68410632674534
74,1842168.4210526315,1684.2105263157894,20814,0.6855318064268201
75,3421084.2105263155,1684.2105263157894,38094,0.6925324473003158
76,3684236.842105263,1684.2105263157894,40974,0.7034928054442366
77,1579015.789473684,1684.2105263157894,17934,0.7038623355802569
78,3947389.4736842103,1684.2105263157894,43854,0.7157758305482003
79,4210542.105263158,1684.2105263157894,46734,0.7290820360338864
80,1315863.1578947369,1684.2105263157894,15054,0.7331142846329114
81,789557.894736842,0.0,8718,0.7356253260409247
82,4473694.736842105,1684.2105263157894,49614,0.7431732095338853
